sku,current_stock,free_stock_value,blocked_stock,blocked_stock_value
1000000412,0.0,0.0,0.0,0.0
1000001121,0.0,0.0,0.0,0.0
1000001122,0.0,0.0,0.0,0.0
1000001123,0.0,0.0,0.0,0.0
1000001131,0.0,0.0,0.0,0.0
1000001132,0.0,0.0,0.0,0.0
1000001133,0.0,0.0,0.0,0.0
1000001134,0.0,0.0,0.0,0.0
1000001137,0.0,0.0,0.0,0.0
1000001138,0.0,0.0,0.0,0.0
1000001139,0.0,0.0,0.0,0.0
1000001140,0.0,0.0,0.0,0.0
1000001141,0.0,0.0,0.0,0.0
1000001142,0.0,0.0,0.0,0.0
1000001143,0.0,0.0,0.0,0.0
1000001144,0.0,0.0,0.0,0.0
1000001145,0.0,0.0,0.0,0.0
100001,0.0,0.0,0.0,0.0
100003,0.0,0.0,0.0,0.0
100025,0.0,0.0,0.0,0.0
100027,0.0,0.0,0.0,0.0
100029,0.0,0.0,0.0,0.0
100032,0.0,0.0,0.0,0.0
100035,0.0,0.0,0.0,0.0
100046,0.0,0.0,0.0,0.0
100052,0.0,0.0,0.0,0.0
100053,0.0,0.0,0.0,0.0
100084,0.0,0.0,0.0,0.0
100099,0.0,0.0,0.0,0.0
100100,0.0,0.0,0.0,0.0
100103,0.0,0.0,0.0,0.0
100107,0.0,0.0,0.0,0.0
100108,0.0,0.0,0.0,0.0
100123,0.0,0.0,0.0,0.0
100124,0.0,0.0,0.0,0.0
100125,0.0,0.0,0.0,0.0
100129,0.0,0.0,0.0,0.0
100183,0.0,0.0,0.0,0.0
100188,0.0,0.0,0.0,0.0
100190,0.0,0.0,0.0,0.0
100194,0.0,0.0,0.0,0.0
100195,0.0,0.0,0.0,0.0
100203,0.0,0.0,0.0,0.0
100208,0.0,0.0,0.0,0.0
100251,0.0,0.0,0.0,0.0
100260,0.0,0.0,0.0,0.0
100267,0.0,0.0,0.0,0.0
100276,0.0,0.0,0.0,0.0
100290,0.0,0.0,0.0,0.0
100300,0.0,0.0,0.0,0.0
100326,0.0,0.0,0.0,0.0
